,x,y,Chainage,Offset
0,19.475,0.121,135.849605,10.179391082936654
1,33.771,1.459,150.20799390000002,10.116552314112866
2,76.99,5.598,193.6246264,10.02009222409044
3,416.346,-132.994,517.8436169,161.01070884811767
4,405.174,-17.146,518.0250863,44.62540153973482
5,411.363,-81.614,517.8961532000001,109.3896673144165
6,184.903,16.068,302.04424980000005,9.91498249611585
7,248.819,22.386,366.2717793000001,9.968366095462363
8,134.292,11.187,251.19853869999994,9.993015693558798
9,101.15,7.941,217.8979581,9.9952738376478
10,140.409,11.768,257.34304139999995,9.974572916919408
11,-26.807,-3.252,89.45878269999999,11.336371268394602
12,-16.007,-19.335,98.63934129999998,5.722943970467599
13,21.899,-3.415,137.91715090000002,6.423818465403821
14,80.154,-7.564,195.48967389999999,3.3877688453402044
15,102.558,9.649,219.4658478,11.557787955631674
16,136.308,7.599,252.8549401,6.2254786188855125
17,144.1,-10.404,258.85371050000003,12.451727334600562
18,127.467,-3.069,243.0155087,3.529268725641362
19,35.033,0.007,151.322343,8.548376887007658
20,47.381,-22.818,161.38503390000002,15.37224144101457
21,21.656,5.54,138.54876620000002,15.359820719700625
22,261.671,23.653,379.1860792,9.97569808923316
23,329.34,30.316,447.181818,10.006624695494546
24,316.121,28.992,433.89720630000005,9.978007129808066
25,330.807,32.074,448.81322320000004,11.613226503164162
26,385.864,36.173,504.00808000000006,10.322895817359573
27,393.234,36.479,511.3727826000001,9.908542725899087
28,265.592,20.336,382.7648301000001,6.292048772624707
29,253.73,-0.036,368.97224500000004,12.825744760991315
30,246.365,8.558,362.4806536000001,3.554320945939211
31,187.941,2.932,303.7864995,3.454703612408163
32,317.542,27.721,435.1874521000001,8.574459186184884
33,326.086,6.679,441.6388598000001,13.200527249343155
34,263.084,25.273,380.75036100000005,11.450144137777064
35,186.261,17.88,303.57251420000006,11.585885283770558
36,274.234,-202.389,369.64029230000006,216.21380816269976
37,272.854,-137.562,374.5903132000001,151.56133991908428
38,267.304,-136.435,369.1767092,149.89834913839766
39,266.984,-69.126,375.4237757000001,82.879112705609
40,261.193,-68.385,369.7326706,81.57677327415882
41,259.606,-0.396,374.78510850000004,13.757192250255239
