,x,y,Chainage,Offset
0,19.475,0.121,135.85,10.179391090598521
1,33.771,1.459,150.21,10.116552512989799
2,76.99,5.598,193.62,10.020093292184393
3,416.346,-132.994,517.84,161.010708888777
4,405.174,-17.146,518.03,44.62540181021212
5,411.363,-81.614,517.9,109.38966738202943
6,184.903,16.068,302.04,9.914983406938736
7,248.819,22.386,366.27,9.968366254283405
8,134.292,11.187,251.20000000000002,9.993015800365756
9,101.15,7.941,217.9,9.99527404618195
10,140.409,11.768,257.34000000000003,9.974573380593927
11,-26.807,-3.252,89.46000000000001,11.336371333739306
12,-16.007,-19.335,98.64,5.722944008384864
13,21.899,-3.415,137.92000000000002,6.423819097171752
14,80.154,-7.564,195.49,3.3877688610387153
15,102.558,9.649,219.47,11.55778870148059
16,136.308,7.599,252.85,6.225480578857048
17,144.1,-10.404,258.85,12.451727887526667
18,127.467,-3.069,243.02,3.5292715834944346
19,35.033,0.007,151.32,8.548377208126878
20,47.381,-22.818,161.39000000000001,15.372242243154263
21,21.656,5.54,138.55,15.35982076925611
22,261.671,23.653,379.19,9.97569885972853
23,329.34,30.316,447.18,10.006624860632211
24,316.121,28.992,433.90000000000003,9.97800752093151
25,330.807,32.074,448.81,11.613226950502673
26,385.864,36.173,504.01,10.322895995921794
27,393.234,36.479,511.37,9.908543116663704
28,265.592,20.336,382.76,6.2920506265305365
29,253.73,-0.036,368.97,12.825744957503584
30,246.365,8.558,362.48,3.554321006031221
31,187.941,2.932,303.79,3.4547053859568755
32,317.542,27.721,435.19,8.574459564657037
33,326.086,6.679,441.64,13.200527298574517
34,263.084,25.273,380.75,11.45014414347175
35,186.261,17.88,303.57,11.585885556573821
36,274.234,-202.389,369.64,216.21380816290116
37,272.854,-137.562,374.59000000000003,151.56133991940786
38,267.304,-136.435,369.18,149.89834917448462
39,266.984,-69.126,375.42,82.87911279164702
40,261.193,-68.385,369.73,81.57677331790653
41,259.606,-0.396,374.79,13.75719311981598
